year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2012,06,California,38041430,10300832,27.08
2012,08,Colorado,5187582,506358,9.76
2012,10,Delaware,917092,77497,8.45
2012,11,District of Columbia,632323,90323,14.28
2012,09,Connecticut,3590347,495421,13.8
2012,12,Florida,19317568,3747136,19.4
2012,13,Georgia,9919945,940138,9.48
2012,16,Idaho,1595728,96568,6.05
2012,15,Hawaii,1392313,251866,18.09
2012,17,Illinois,12875255,1791330,13.91
2012,18,Indiana,6537334,303145,4.64
2012,19,Iowa,3074186,137858,4.48
2012,20,Kansas,2885905,186816,6.47
2012,21,Kentucky,4380415,137411,3.14
2012,22,Louisiana,4601893,168152,3.65
2012,23,Maine,1329192,47095,3.54
2012,24,Maryland,5884563,839336,14.26
2012,25,Massachusetts,6646144,995692,14.98
2012,26,Michigan,9883360,607319,6.14
2012,27,Minnesota,5379139,389324,7.24
2012,28,Mississippi,2984926,59303,1.99
2012,29,Missouri,6021988,228076,3.79
2012,30,Montana,1005141,18344,1.83
2012,31,Nebraska,1855525,118522,6.39
2012,32,Nevada,2758931,530590,19.23
2012,33,New Hampshire,1320718,71369,5.4
2012,34,New Jersey,8864590,1883299,21.25
2012,35,New Mexico,2085538,192188,9.22
2012,36,New York,19570261,4424370,22.61
2012,37,North Carolina,9752073,748072,7.67
2012,38,North Dakota,699628,19380,2.77
2012,39,Ohio,11544225,451330,3.91
2012,40,Oklahoma,3814820,213284,5.59
2012,41,Oregon,3899353,372767,9.56
2012,42,Pennsylvania,12763536,769264,6.03
2012,44,Rhode Island,1050292,140125,13.34
2012,45,South Carolina,4723723,221976,4.7
2012,46,South Dakota,833354,22857,2.74
2012,47,Tennessee,6456243,291641,4.52
2012,48,Texas,26059203,4269693,16.38
2012,50,Vermont,626011,25541,4.08
2012,49,Utah,2855287,240872,8.44
2012,51,Virginia,8185867,947320,11.57
2012,53,Washington,6897012,916399,13.29
2012,54,West Virginia,1855413,25846,1.39
2012,55,Wisconsin,5726398,272009,4.75
2012,56,Wyoming,576412,19520,3.39
2012,72,Puerto Rico,3667084,98829,2.7
2013,28,Mississippi,2991207,62899,2.1
2013,29,Missouri,6044171,233261,3.86
2013,30,Montana,1015165,19465,1.92
2013,31,Nebraska,1868516,123182,6.59
2013,32,Nevada,2790136,529164,18.97
2013,33,New Hampshire,1323459,75175,5.68
2013,34,New Jersey,8899339,1925773,21.64
2013,35,New Mexico,2085287,211249,10.13
2013,36,New York,19651127,4383311,22.31
