District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
CA-3,"Garamendi, John",D,D+9,D+7,D+5,55%,43%,12%,53%,40%,13%,54%,43%,11%,55%,42%,13%,0.99,57.6%,7.1%,20.2%,10.3%,"$61,268",24.7%,15.6%,38.6%,Rural-suburban mix
CA-4,"McClintock, Tom",R,R+15,R+21,R+10,44%,54%,-10%,39%,54%,-15%,40%,58%,-18%,43%,54%,-11%,0.98,81.6%,1.4%,9.6%,4.1%,"$72,371",32.7%,26.9%,53.4%,Rural-suburban mix
CA-5,"Thompson, Mike",D,D+43,D+39,D+21,73%,25%,47%,69%,24%,45%,70%,28%,42%,70%,26%,44%,0.82,60.6%,6.8%,17.4%,10.9%,"$71,526",31.0%,21.1%,35.6%,Dense suburban
CA-6,"Matsui, Doris",D,D+40,D+38,D+21,70%,27%,43%,69%,24%,45%,69%,28%,41%,68%,29%,39%,0.97,45.3%,14.1%,20.5%,14.7%,"$51,479",27.7%,15.6%,27.7%,Urban-suburban mix
CA-7,"Bera, Ami",D,D+9,D+4,D+3,56%,42%,14%,52%,41%,11%,51%,47%,4%,51%,46%,5%,0.90,60.7%,7.7%,13.5%,13.5%,"$69,964",33.0%,20.4%,38.5%,Dense suburban
CA-8,"Obernolte, Jay",R,R+16,R+20,R+9,44%,54%,-11%,40%,55%,-15%,42%,56%,-14%,42%,55%,-13%,0.99,54.7%,7.9%,31.3%,2.8%,"$50,051",16.4%,10.6%,42.4%,Rural-suburban mix
CA-9,"McNerney, Jerry",D,D+14,D+13,D+8,58%,40%,18%,57%,38%,19%,58%,40%,18%,56%,41%,15%,1.14,44.9%,10.1%,27.7%,13.7%,"$60,717",19.8%,10.2%,30.7%,Dense suburban
CA-10,"Harder, Josh",D,R+1,R+2,EVEN,50%,47%,3%,49%,46%,3%,51%,47%,4%,50%,47%,3%,1.15,54.2%,3.8%,31.6%,6.6%,"$59,543",17.3%,10.9%,39.1%,Dense suburban
CA-11,"DeSaulnier, Mark",D,D+46,D+40,D+21,74%,24%,51%,72%,23%,49%,68%,30%,38%,69%,28%,41%,0.97,56.5%,9.3%,16.8%,13.3%,"$83,343",43.0%,28.4%,23.2%,Urban-suburban mix
CA-12,"Pelosi, Nancy",D,D+71,D+71,D+37,86%,12%,74%,86%,9%,78%,84%,13%,72%,84%,13%,71%,0.80,48.4%,5.7%,11.2%,30.9%,"$97,282",57.4%,34.9%,11.1%,Pure urban
CA-13,"Lee, Barbara",D,D+76,D+76,D+40,89%,9%,80%,87%,7%,81%,88%,9%,79%,87%,10%,77%,0.58,41.7%,19.8%,13.8%,19.9%,"$70,222",46.8%,27.0%,11.5%,Pure urban
CA-14,"Speier, Jackie",D,D+54,D+51,D+27,78%,21%,57%,77%,18%,59%,74%,24%,51%,73%,24%,49%,0.81,41.8%,3.7%,17.7%,32.8%,"$101,753",46.1%,21.2%,16.6%,Urban-suburban mix
CA-15,"Swalwell, Eric",D,D+41,D+38,D+20,72%,26%,45%,70%,24%,46%,68%,30%,38%,67%,30%,37%,0.89,42.8%,7.1%,17.5%,28.3%,"$103,109",43.3%,17.1%,20.1%,Urban-suburban mix
CA-16,"Costa, Jim",D,D+17,D+15,D+9,59%,39%,20%,58%,36%,22%,59%,39%,19%,57%,40%,17%,1.16,33.7%,7.6%,47.0%,9.2%,"$40,689",12.3%,6.3%,23.1%,Dense suburban
CA-17,"Khanna, Ro",D,D+45,D+46,D+25,73%,26%,47%,74%,21%,53%,72%,26%,46%,69%,28%,41%,1.09,33.4%,3.2%,14.6%,45.3%,"$115,390",55.8%,13.9%,13.0%,Pure urban
CA-18,"Eshoo, Anna",D,D+51,D+44,D+23,76%,21%,55%,73%,20%,53%,68%,29%,39%,70%,27%,43%,0.92,64.1%,2.2%,11.7%,18.5%,"$122,124",61.8%,38.1%,20.5%,Urban-suburban mix
CA-19,"Lofgren, Zoe",D,D+41,D+44,D+24,70%,28%,42%,73%,22%,51%,71%,27%,45%,68%,29%,39%,0.99,33.5%,3.5%,31.0%,29.0%,"$91,357",34.3%,14.2%,15.5%,Urban-suburban mix
