AL	1982	2	106.44
AL	1982	3	107.11
AL	1982	4	114.86
AL	1983	1	114.43
AL	1983	2	113.97
AL	1983	3	116.75
AL	1983	4	113.39
AL	1984	1	121.93
AL	1984	2	120.34
AL	1984	3	124.25
AL	1984	4	120.83
AL	1985	1	120.45
AL	1985	2	124.37
AL	1985	3	126.83
AL	1985	4	127.71
AL	1986	1	128.91
AL	1986	2	131.42
AL	1986	3	132.99
AL	1986	4	135.43
AL	1987	1	137.54
AL	1987	2	138.71
AL	1987	3	139.24
AL	1987	4	138.02
AL	1988	1	141.62
AL	1988	2	142.68
AL	1988	3	142.20
AL	1988	4	140.73
AL	1989	1	141.08
AL	1989	2	142.86
AL	1989	3	145.06
AL	1989	4	146.14
AL	1990	1	145.06
AL	1990	2	146.18
AL	1990	3	146.79
AL	1990	4	146.89
AL	1991	1	148.13
AL	1991	2	150.37
AL	1991	3	151.20
AL	1991	4	153.70
AL	1992	1	154.94
AL	1992	2	155.13
AL	1992	3	158.08
AL	1992	4	159.38
AL	1993	1	160.46
AL	1993	2	162.26
AL	1993	3	165.08
AL	1993	4	166.50
AL	1994	1	167.56
AL	1994	2	169.67
AL	1994	3	170.28
AL	1994	4	170.34
AL	1995	1	172.08
AL	1995	2	175.45
AL	1995	3	178.24
AL	1995	4	179.70
AL	1996	1	182.76
AL	1996	2	182.72
AL	1996	3	183.04
AL	1996	4	185.26
AL	1997	1	187.40
AL	1997	2	188.62
AL	1997	3	191.54
AL	1997	4	193.98
AL	1998	1	197.19
AL	1998	2	198.55
AL	1998	3	200.85
AL	1998	4	203.35
AL	1999	1	204.03
AL	1999	2	204.84
AL	1999	3	205.17
AL	1999	4	206.75
AL	2000	1	207.47
AL	2000	2	209.23
AL	2000	3	210.90
AL	2000	4	213.59
AL	2001	1	219.82
AL	2001	2	220.79
AL	2001	3	222.33
AL	2001	4	224.82
AL	2002	1	225.24
AL	2002	2	226.32
AL	2002	3	229.73
AL	2002	4	232.40
AL	2003	1	234.73
AL	2003	2	236.88
AL	2003	3	238.47
AL	2003	4	239.88
AL	2004	1	242.26
AL	2004	2	243.80
AL	2004	3	248.23
AL	2004	4	251.94
AL	2005	1	255.22
AL	2005	2	261.32
AL	2005	3	266.85
AL	2005	4	272.20
AL	2006	1	277.86
AL	2006	2	282.36
AL	2006	3	286.82
AL	2006	4	292.38
AL	2007	1	294.22
AL	2007	2	298.29
AL	2007	3	299.04
AL	2007	4	301.23
AL	2008	1	303.19
AL	2008	2	302.06
AL	2008	3	299.78
AL	2008	4	301.31
AL	2009	1	303.42
AL	2009	2	300.21
AL	2009	3	293.14
AL	2009	4	292.19
AL	2010	1	287.93
AL	2010	2	283.64
AL	2010	3	287.47
AL	2010	4	285.18
AL	2011	1	277.58
AL	2011	2	273.82
AL	2011	3	275.92
AL	2011	4	278.18
AL	2012	1	275.24
AL	2012	2	273.38
AL	2012	3	275.23
AL	2012	4	275.67
AL	2013	1	272.93
AL	2013	2	273.58
AL	2013	3	273.03
AL	2013	4	271.93
AL	2014	1	273.63
AL	2014	2	274.25
AL	2014	3	277.25
AL	2014	4	278.62
AL	2015	1	281.61
AL	2015	2	282.30
AL	2015	3	284.05
AL	2015	4	285.89
AL	2016	1	286.60
AL	2016	2	290.62
AL	2016	3	295.08
AL	2016	4	294.17
AL	2017	1	295.80
AL	2017	2	299.33
AL	2017	3	302.11
AL	2017	4	304.17
AL	2018	1	307.38
AL	2018	2	311.84
AL	2018	3	314.89
AL	2018	4	315.33
AL	2019	1	321.35
AL	2019	2	325.87
AL	2019	3	330.53
AL	2019	4	334.38
AL	2020	1	338.37
AL	2020	2	343.24
AL	2020	3	349.88
AL	2020	4	357.23
AL	2021	1	364.67
AL	2021	2	381.59
AL	2021	3	403.25
AL	2021	4	419.53
AL	2022	1	431.74
AL	2022	2	455.67
AL	2022	3	468.63
AL	2022	4	468.11
AL	2023	1	473.89
AL	2023	2	482.25
AL	2023	3	491.36
AL	2023	4	489.82
AL	2024	1	497.61
AL	2024	2	508.77
AL	2024	3	515.29
AL	2024	4	520.84
AL	2025	1	520.26
AL	2025	2	531.19
AL	2025	3	530.97
AL	2025	4	539.17
AR	1975	1	67.17
AR	1975	2	60.21
AR	1975	3	64.89
